         253153657 function calls (246262193 primitive calls) in 169.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5683274   10.564    0.000   22.628    0.000 Heap.py:92(maxChild)
 16255206   10.247    0.000   17.270    0.000 Calc.py:119(notEqual)
  1716070    9.223    0.000   11.141    0.000 Calc.py:44(intersect)
 22501346    6.691    0.000    6.691    0.000 Heap.py:16(key)
  2709201    6.283    0.000   12.644    0.000 Calc.py:178(getUseful)
  5418402    6.221    0.000   23.490    0.000 Calc.py:134(getTime)
  1945354    6.115    0.000   36.315    0.000 Heap.py:69(downheap)
  1588629    5.515    0.000    5.515    0.000 Calc.py:22(circleCenter)
  2634136    5.361    0.000   42.863    0.000 Calc.py:145(extend)
   432751    4.467    0.000   39.689    0.000 Diagram.py:55(handleCircleEvent)
     4991    4.166    0.001   53.079    0.011 Diagram.py:109(pruneEdges)
 14103263    4.159    0.000    4.160    0.000 {built-in method builtins.max}
  1263053    3.786    0.000    9.981    0.000 Heap.py:73(upheap)
 11976910    3.728    0.000    5.056    0.000 Heap.py:98(size)
  1354620    3.710    0.000   25.201    0.000 Diagram.py:99(checkNewCircle)
  4983291    3.422    0.000    3.422    0.000 Heap.py:62(swap)
  1227786    2.877    0.000    2.877    0.000 BinTree.py:13(__init__)
 28205894    2.864    0.000    2.864    0.000 {built-in method builtins.abs}
   249550    2.637    0.000   37.737    0.000 Diagram.py:27(handleSiteEvent)
  5683274    2.622    0.000    4.922    0.000 Heap.py:80(hasRight)
  4277496    2.597    0.000    3.404    0.000 Heap.py:89(parent)
4499405/1110061    2.249    0.000    2.249    0.000 BinTree.py:97(getMax)
   972677    2.241    0.000   17.589    0.000 Heap.py:55(insert)
  5851153    2.204    0.000    2.204    0.000 Calc.py:122(subtract)
  8559527    2.200    0.000    2.200    0.000 Heap.py:83(left)
  4343291    2.188    0.000    4.038    0.000 Heap.py:77(hasLeft)
  2858054    2.054    0.000    2.054    0.000 BinTree.py:115(successor)
  2709201    2.005    0.000    3.178    0.000 Calc.py:192(<listcomp>)
  1330774    1.970    0.000    1.970    0.000 Calc.py:107(converge)
  2709201    1.963    0.000    3.184    0.000 Calc.py:193(<listcomp>)
  1716070    1.918    0.000    1.918    0.000 Calc.py:79(quadraticFormula)
  7724781    1.895    0.000    1.895    0.000 Heap.py:86(right)
   677310    1.879    0.000    3.452    0.000 DCEL.py:77(addEdge)
14749834/14748881    1.750    0.000    1.751    0.000 {built-in method builtins.len}
  2865272    1.653    0.000    1.653    0.000 BinTree.py:102(predecessor)
     4991    1.532    0.000  165.688    0.033 Diagram.py:12(fortunes)
  1110061    1.476    0.000    5.486    0.000 BinTree.py:187(nextLeaf)
  1110061    1.450    0.000    4.254    0.000 BinTree.py:194(prevLeaf)
  2662344    1.399    0.000   43.805    0.000 Calc.py:114(<lambda>)
  1354620    1.348    0.000    1.348    0.000 DCEL.py:12(__init__)
   244559    1.339    0.000    9.214    0.000 BinTree.py:82(findArc)
  1155878    1.251    0.000    5.248    0.000 Calc.py:32(circleBottom)
  5418402    1.221    0.000    1.221    0.000 Calc.py:175(<lambda>)
  2493497    1.206    0.000    1.206    0.000 Calc.py:128(isOutside)
  2465338    1.191    0.000    2.382    0.000 Diagram.py:127(<lambda>)
2729142/1110061    1.187    0.000    1.187    0.000 BinTree.py:92(getMin)
  5418402    1.173    0.000    1.173    0.000 Calc.py:176(<lambda>)
   972677    0.969    0.000    0.969    0.000 Heap.py:5(__init__)
   682301    0.963    0.000   29.937    0.000 Heap.py:36(removeMax)
   432751    0.961    0.000    4.407    0.000 DCEL.py:90(initCircleVector)
  1260828    0.942    0.000    1.982    0.000 Diagram.py:138(<lambda>)
2033071/1101747    0.937    0.000    0.937    0.000 BinTree.py:179(highestLeaf)
2039500/1094529    0.915    0.000    0.915    0.000 BinTree.py:171(lowestLeaf)
   733677    0.813    0.000    2.518    0.000 BinTree.py:23(addRight)
  4277496    0.807    0.000    0.807    0.000 {built-in method math.ceil}
   733677    0.784    0.000    3.302    0.000 BinTree.py:201(addRight)
  1260828    0.762    0.000    0.762    0.000 Calc.py:116(dist)
   677310    0.724    0.000    0.972    0.000 BinTree.py:158(replaceWithChild)
  1110061    0.649    0.000    5.833    0.000 Diagram.py:94(removeFalseAlarm)
   290376    0.618    0.000    5.184    0.000 Heap.py:47(remove)
   489118    0.606    0.000    1.764    0.000 BinTree.py:27(addLeft)
   432751    0.595    0.000    0.942    0.000 DCEL.py:72(addVertex)
  3904484    0.571    0.000    0.571    0.000 Diagram.py:111(<lambda>)
   489118    0.466    0.000    2.230    0.000 BinTree.py:209(addLeft)
  2778931    0.432    0.000    0.432    0.000 {method 'append' of 'list' objects}
     1685    0.424    0.000    0.502    0.000 Diagram.py:143(<listcomp>)
  1686724    0.356    0.000    0.356    0.000 DCEL.py:21(dest)
   244559    0.349    0.000    0.349    0.000 DCEL.py:98(initSiteVector)
   432751    0.338    0.000    0.338    0.000 BinTree.py:128(remove)
   687292    0.330    0.000    0.645    0.000 Heap.py:44(empty)
    93800    0.330    0.000    0.330    0.000 {method 'index' of 'list' objects}
   244559    0.289    0.000    0.289    0.000 Calc.py:101(getProjection)
   432751    0.270    0.000    0.270    0.000 DCEL.py:4(__init__)
     5006    0.254    0.000    2.236    0.000 {built-in method _functools.reduce}
   672319    0.248    0.000    0.248    0.000 BinTree.py:62(isLeftChild)
  1070313    0.183    0.000    0.183    0.000 {method 'pop' of 'list' objects}
    75065    0.159    0.000    1.231    0.000 Calc.py:160(shorten)
   249550    0.071    0.000    0.071    0.000 BinTree.py:53(empty)
    93792    0.065    0.000    0.413    0.000 DCEL.py:87(removeEdge)
        1    0.054    0.054  168.611  168.611 Voronoi.py:28(monteCarlo)
     1685    0.053    0.000    0.053    0.000 Diagram.py:142(<listcomp>)
      246    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
    45/44    0.038    0.001    0.040    0.001 {built-in method _imp.create_dynamic}
   188117    0.037    0.000    0.037    0.000 {method 'add' of 'set' objects}
     2578    0.030    0.000    0.052    0.000 inspect.py:625(cleandoc)
      499    0.021    0.000    0.021    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1259    0.020    0.000    0.020    0.000 {built-in method posix.stat}
 1025/939    0.019    0.000    0.087    0.000 {built-in method builtins.__build_class__}
      316    0.018    0.000    0.018    0.000 {built-in method builtins.compile}
     4990    0.017    0.000    0.028    0.000 Calc.py:37(wiggle)
      246    0.013    0.000    0.013    0.000 {built-in method io.open_code}
  448/178    0.011    0.000    0.030    0.000 sre_parse.py:493(_parse)
     4991    0.010    0.000    2.247    0.000 Diagram.py:137(getPerimeter)
