doing trials...
[1000D[####################                    ]         210185116 function calls (210176890 primitive calls) in 170.397 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2132112   13.565    0.000   16.165    0.000 calc.py:42(intersect)
  6242343   10.498    0.000   19.692    0.000 heap.py:105(maxChild)
  2070930    9.764    0.000   41.720    0.000 heap.py:65(downheap)
  1711763    6.797    0.000    6.797    0.000 calc.py:20(circleCenter)
  2718680    6.708    0.000   13.239    0.000 calc.py:189(getUseful)
  8777856    5.945    0.000    5.945    0.000 heap.py:58(swap)
      228    5.664    0.025   41.166    0.181 algorithm.py:116(pruneEdges)
  1390139    5.434    0.000   10.127    0.000 heap.py:73(upheap)
  2694055    5.348    0.000   30.412    0.000 calc.py:156(extend)
 15474694    5.084    0.000    7.068    0.000 heap.py:111(size)
   452472    4.374    0.000   44.031    0.000 algorithm.py:52(handleCircleEvent)
  1361122    4.187    0.000   29.144    0.000 algorithm.py:106(checkNewCircle)
  5437360    4.123    0.000    7.021    0.000 calc.py:127(notEqual)
  7161193    3.776    0.000    7.053    0.000 heap.py:90(hasLeft)
  1140679    3.734    0.000    3.734    0.000 bintree.py:13(__init__)
 10196636    3.341    0.000    3.341    0.000 heap.py:77(greaterThan)
  6242343    2.944    0.000    5.665    0.000 heap.py:93(hasRight)
  5437360    2.644    0.000    9.665    0.000 calc.py:145(getTime)
  2132112    2.600    0.000    2.600    0.000 calc.py:84(quadraticFormula)
  1035819    2.526    0.000   19.125    0.000 heap.py:51(insert)
  1359290    2.512    0.000    2.512    0.000 calc.py:112(converge)
   228319    2.425    0.000   44.585    0.000 algorithm.py:24(handleSiteEvent)
18259672/18258586    2.373    0.000    2.374    0.000 {built-in method builtins.len}
  2944566    2.289    0.000    2.289    0.000 bintree.py:115(successor)
  5889832    2.235    0.000    2.235    0.000 calc.py:130(subtract)
  2718680    2.089    0.000    3.282    0.000 calc.py:203(<listcomp>)
  1035819    2.030    0.000    2.030    0.000 heap.py:4(__init__)
  2718680    2.029    0.000    3.249    0.000 calc.py:204(<listcomp>)
   228090    1.979    0.000   13.601    0.000 bintree.py:82(findArc)
   680561    1.958    0.000    3.821    0.000 edgelist.py:77(addEdge)
  2943192    1.924    0.000    1.924    0.000 bintree.py:102(predecessor)
  9241403    1.821    0.000    1.821    0.000 heap.py:96(left)
  5437745    1.717    0.000    1.717    0.000 {built-in method builtins.max}
  8985458    1.707    0.000    1.707    0.000 heap.py:99(right)
  1133033    1.615    0.000    3.818    0.000 bintree.py:189(nextLeaf)
  1133033    1.601    0.000    3.784    0.000 bintree.py:196(prevLeaf)
  1259291    1.548    0.000    6.457    0.000 calc.py:30(circleBottom)
  1361122    1.511    0.000    1.511    0.000 edgelist.py:12(__init__)
